epoch,family,variant,split,logp_iwae,logp_ais,logp_used,Lq,Lq_star,approx_gap,amort_gap,infer_gap,grad_norm_enc,grad_norm_dec
25,Gaussian,standard,train,-92.48,-89.7,-89.7,-98.92,-92.32,2.62,6.61,9.23,,
25,Gaussian,standard,eval,-94.15,-90.59,-90.59,-103.03,-93.67,3.08,9.36,12.44,,
50,Gaussian,standard,train,-87.47,-87.08,-87.08,-95.89,-89.49,2.41,6.4,8.82,,
50,Gaussian,standard,eval,-90.3,-89.25,-89.25,-95.77,-92.15,2.89,3.62,6.52,,
100,Gaussian,standard,train,-84.92,-85.2,-84.92,-93.43,-86.98,2.06,6.45,8.51,,
100,Gaussian,standard,eval,-88.66,-88.19,-88.19,-97.03,-90.65,2.46,6.38,8.85,,
250,Gaussian,standard,train,-83.54,-83.54,-83.54,-92.28,-85.1,1.57,7.17,8.74,,
250,Gaussian,standard,eval,-88.31,-87.04,-87.04,-97.86,-89.33,2.28,8.54,10.82,,
25,Flow,standard,train,-93.1,-90.67,-90.67,-100.1,-90.83,0.17,9.27,9.44,,
25,Flow,standard,eval,-93.36,-92.5,-92.5,-105.94,-93.43,0.94,12.51,13.44,,
50,Flow,standard,train,-87.14,-88.23,-87.14,-95.92,-89.0,1.86,6.92,8.78,,
50,Flow,standard,eval,-90.85,-90.99,-90.85,-100.15,-91.86,1.0,8.29,9.29,,
100,Flow,standard,train,-86.36,-86.29,-86.29,-91.69,-86.88,0.6,4.81,5.41,,
100,Flow,standard,eval,-91.1,-90.38,-90.38,-100.56,-91.21,0.83,9.35,10.18,,
250,Flow,standard,train,-84.37,-84.8,-84.37,-89.73,-85.09,0.73,4.64,5.37,,
250,Flow,standard,eval,-89.13,-88.69,-88.69,-96.61,-88.96,0.27,7.65,7.92,,
25,ContextualFlow,standard,train,-91.78,-89.69,-89.69,-101.11,-90.14,0.45,10.98,11.43,,
25,ContextualFlow,standard,eval,-94.98,-91.63,-91.63,-104.06,-92.15,0.52,11.91,12.43,,
50,ContextualFlow,standard,train,-86.59,-86.42,-86.42,-92.74,-86.49,0.07,6.25,6.32,,
50,ContextualFlow,standard,eval,-88.93,-89.04,-88.93,-96.47,-89.09,0.17,7.38,7.54,,
100,ContextualFlow,standard,train,-84.08,-84.19,-84.08,-90.98,-84.29,0.21,6.69,6.9,,
100,ContextualFlow,standard,eval,-87.42,-87.56,-87.42,-95.68,-87.49,0.07,8.19,8.26,,
250,ContextualFlow,standard,train,-82.75,-82.89,-82.75,-89.62,-82.91,0.17,6.71,6.88,,
250,ContextualFlow,standard,eval,-86.68,-86.89,-86.68,-95.65,-87.15,0.48,8.5,8.97,,
25,Gaussian_LargeD,large_decoder,train,-86.36,-83.29,-83.29,-94.52,-85.93,2.64,8.59,11.22,,
25,Gaussian_LargeD,large_decoder,eval,-93.98,-89.98,-89.98,-101.71,-92.8,2.82,8.9,11.72,,
50,Gaussian_LargeD,large_decoder,train,-82.49,-82.06,-82.06,-88.89,-84.1,2.04,4.79,6.83,,
50,Gaussian_LargeD,large_decoder,eval,-89.12,-88.47,-88.47,-97.71,-91.17,2.7,6.54,9.24,,
100,Gaussian_LargeD,large_decoder,train,-80.91,-81.1,-80.91,-87.18,-82.65,1.74,4.53,6.26,,
100,Gaussian_LargeD,large_decoder,eval,-88.16,-87.62,-87.62,-96.09,-89.69,2.07,6.41,8.48,,
250,Gaussian_LargeD,large_decoder,train,-80.16,-80.55,-80.16,-87.41,-81.53,1.37,5.88,7.25,,
250,Gaussian_LargeD,large_decoder,eval,-89.39,-88.43,-88.43,-98.61,-90.44,2.0,8.17,10.18,,
25,Gaussian_LargeE,large_encoder,train,-91.08,-87.54,-87.54,-100.93,-90.22,2.68,10.7,13.39,,
25,Gaussian_LargeE,large_encoder,eval,-91.78,-89.65,-89.65,-101.89,-93.03,3.39,8.85,12.24,,
50,Gaussian_LargeE,large_encoder,train,-86.6,-86.32,-86.32,-95.61,-88.35,2.03,7.26,9.29,,
50,Gaussian_LargeE,large_encoder,eval,-88.65,-88.42,-88.42,-99.65,-91.08,2.66,8.57,11.23,,
100,Gaussian_LargeE,large_encoder,train,-83.9,-83.29,-83.29,-91.15,-85.54,2.25,5.6,7.85,,
100,Gaussian_LargeE,large_encoder,eval,-87.03,-87.21,-87.03,-96.84,-89.07,2.04,7.77,9.81,,
250,Gaussian_LargeE,large_encoder,train,-81.94,-82.14,-81.94,-91.39,-83.84,1.9,7.56,9.45,,
250,Gaussian_LargeE,large_encoder,eval,-86.9,-86.56,-86.56,-95.9,-87.99,1.44,7.91,9.34,,
